 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 05/04/2009   17:02:29
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:02:29  |  General  |  Info  |  Register value : 'Center' = 0  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  166
17:02:29  |  General  |  Info  |  Register value : 'Left' = 2  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  167
17:02:29  |  General  |  Info  |  Register value : 'Right' = 4  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  168
17:02:29  |  General  |  Info  |  Register value : 'HStretch' = 6  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  169
17:02:29  |  General  |  Info  |  Register value : 'Top' = 8  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  170
17:02:29  |  General  |  Info  |  Register value : 'Bottom' = 16  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  171
17:02:29  |  General  |  Info  |  Register value : 'VStretch' = 24  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  172
17:02:29  |  General  |  Info  |  Register value : 'Stretch' = 30  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  173
17:02:29  |  General  |  Info  |  Register value : 'Default' = 10  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  174
17:02:30  |  General  |  Info  |  Load ini file 'core_pointer.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:30  |  General  |  Info  |  Gui successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_gui.cpp  |  112
17:02:30  |  General  |  Info  |  Font 'Default' using texture size 1024 x 128  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_font.cpp  |  205
17:02:30  |  General  |  Info  |  Font 'Default' using real height 17 pixels  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_font.cpp  |  206
17:02:30  |  General  |  Info  |  Font 'DejaVuSans.14' using texture size 1024 x 128  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_font.cpp  |  205
17:02:30  |  General  |  Info  |  Font 'DejaVuSans.14' using real height 14 pixels  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_font.cpp  |  206
17:02:44  |  General  |  Info  |  * Shutdown: Gui  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_gui.cpp  |  119
17:02:44  |  General  |  Info  |  * Shutdown: PointerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pointermanager.cpp  |  57
17:02:44  |  General  |  Info  |  PointerManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pointermanager.cpp  |  67
17:02:44  |  General  |  Info  |  * Shutdown: InputManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_inputmanager.cpp  |  81
17:02:44  |  General  |  Info  |  InputManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_inputmanager.cpp  |  87
17:02:44  |  General  |  Info  |  * Shutdown: SkinManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_skinmanager.cpp  |  53
17:02:44  |  General  |  Info  |  SkinManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_skinmanager.cpp  |  64
17:02:44  |  General  |  Info  |  * Shutdown: SubWidgetManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_subwidgetmanager.cpp  |  56
17:02:44  |  General  |  Info  |  SubWidgetManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_subwidgetmanager.cpp  |  67
17:02:44  |  General  |  Info  |  * Shutdown: LayerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  80
17:02:44  |  General  |  Info  |  destroy layer 'Back'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Overlapped'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Middle'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Modal'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Main'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Popup'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'FadeMiddle'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
